zip,county,state
24962,SUMMERS,WV
24963,MONROE,WV
24963,MONROE,WV
24966,GREENBRIER,WV
24966,GREENBRIER,WV
24966,GREENBRIER,WV
24970,GREENBRIER,WV
24970,GREENBRIER,WV
24970,GREENBRIER,WV
24974,MONROE,WV
24976,MONROE,WV
24976,MONROE,WV
24977,GREENBRIER,WV
24977,GREENBRIER,WV
24981,SUMMERS,WV
24981,SUMMERS,WV
24983,MONROE,WV
24983,MONROE,WV
24983,MONROE,WV
24983,MONROE,WV
24984,MONROE,WV
24985,MONROE,WV
24986,GREENBRIER,WV
24986,GREENBRIER,WV
24986,GREENBRIER,WV
24986,GREENBRIER,WV
24986,GREENBRIER,WV
24991,GREENBRIER,WV
24991,GREENBRIER,WV
24993,MONROE,WV
25002,FAYETTE,WV
25003,KANAWHA,WV
25005,ROANE,WV
25007,RALEIGH,WV
25008,RALEIGH,WV
25009,BOONE,WV
25011,PUTNAM,WV
25015,KANAWHA,WV
25015,KANAWHA,WV
25015,KANAWHA,WV
25015,KANAWHA,WV
25015,KANAWHA,WV
25015,KANAWHA,WV
25019,CLAY,WV
25019,CLAY,WV
25021,BOONE,WV
25022,LOGAN,WV
25024,BOONE,WV
25025,KANAWHA,WV
25026,KANAWHA,WV
25028,BOONE,WV
25030,CLAY,WV
25031,FAYETTE,WV
25033,PUTNAM,WV
25035,KANAWHA,WV
25035,KANAWHA,WV
25036,FAYETTE,WV
25039,KANAWHA,WV
25040,FAYETTE,WV
25040,FAYETTE,WV
25043,CLAY,WV
25044,RALEIGH,WV
25045,KANAWHA,WV
25045,KANAWHA,WV
25045,KANAWHA,WV
25045,KANAWHA,WV
25047,LOGAN,WV
25048,RALEIGH,WV
25049,BOONE,WV
25051,BOONE,WV
25053,BOONE,WV
25054,KANAWHA,WV
25057,FAYETTE,WV
25059,NICHOLAS,WV
25060,RALEIGH,WV
25060,RALEIGH,WV
25061,KANAWHA,WV
25062,RALEIGH,WV
25063,CLAY,WV
25063,CLAY,WV
25063,CLAY,WV
25063,CLAY,WV
25064,KANAWHA,WV
25067,KANAWHA,WV
25067,KANAWHA,WV
25070,PUTNAM,WV
25071,KANAWHA,WV
25071,KANAWHA,WV
25075,KANAWHA,WV
25075,KANAWHA,WV
25075,KANAWHA,WV
25075,KANAWHA,WV
25075,KANAWHA,WV
25075,KANAWHA,WV
25076,LOGAN,WV
25079,KANAWHA,WV
25081,BOONE,WV
25082,PUTNAM,WV
25082,PUTNAM,WV
25082,PUTNAM,WV
25083,KANAWHA,WV
25083,KANAWHA,WV
25083,KANAWHA,WV
25083,KANAWHA,WV
25083,KANAWHA,WV
25083,KANAWHA,WV
25085,FAYETTE,WV
25085,FAYETTE,WV
25086,KANAWHA,WV
25088,CLAY,WV
25090,FAYETTE,WV
25093,BOONE,WV
25102,KANAWHA,WV
25103,KANAWHA,WV
25106,MASON,WV
25107,KANAWHA,WV
25108,BOONE,WV
25109,PUTNAM,WV
25110,KANAWHA,WV
25111,CLAY,WV
25112,KANAWHA,WV
25113,CLAY,WV
25113,CLAY,WV
25114,BOONE,WV
25114,BOONE,WV
25115,FAYETTE,WV
25118,FAYETTE,WV
25119,FAYETTE,WV
25121,LOGAN,WV
25123,MASON,WV
25123,MASON,WV
25123,MASON,WV
25123,MASON,WV
25123,MASON,WV
25124,PUTNAM,WV
25125,CLAY,WV
25125,CLAY,WV
25126,KANAWHA,WV
25130,BOONE,WV
25132,KANAWHA,WV
25133,CLAY,WV
25134,KANAWHA,WV
25136,FAYETTE,WV
25139,FAYETTE,WV
25140,RALEIGH,WV
25140,RALEIGH,WV
25140,RALEIGH,WV
25140,RALEIGH,WV
25141,CLAY,WV
25142,BOONE,WV
25143,KANAWHA,WV
25148,BOONE,WV
